GENE;L-O-1;L-O-2;L-O-3;D-O-1;D-O-2;D-O-3;D-A-4;D-A-5;D-A-2
cds1030-50S-ribosomal-protein-L1;2055;352;2824;1638;358;325;1396;4254;1104
cds1031-50S-ribosomal-protein-L10;1404;499;1966;1227;270;314;1405;2811;984
cds1032-50S-ribosomal-protein-L7/L12;741;140;1372;936;238;188;983;2754;544
cds1033-DUF3747-domain-containing-protein;404;87;946;1122;246;206;1023;2564;852
cds1034-ribonuclease-HI;499;83;1069;1280;341;351;1279;2975;1143
cds1035-quinone-dependent-dihydroorotate-dehydrogenase;382;51;1391;1959;481;439;2240;5299;1736
cds1036-hypothetical-protein;357;51;1335;1964;513;492;2308;6371;1624
cds1037-hypothetical-protein;177;17;435;883;130;136;774;1354;616
cds1038-hypothetical-protein-WH5701_05100;245;24;718;1306;277;257;1445;2837;955
cds1039-possible-general-(type-II)-secretion-pathway-protein-D-precursor;942;121;2731;4920;926;928;5131;10460;3750
cds103-HrcA-family-transcriptional-regulator;400;37;945;1381;327;356;1248;2665;1300
cds1040-pentapeptide-repeat-containing-protein;294;42;935;1346;244;316;1298;2984;922
cds1041;115;18;391;510;121;144;694;1733;467
cds1042;46;10;269;266;66;47;392;901;192
cds1043-threonine-phosphate-decarboxylase;474;51;1488;2337;564;521;2449;6499;2324
cds1044-UDP-N-acetylglucosamine--N-acetylmuramyl--(pentapeptide)-pyrophosphoryl-undecaprenol-N-acetylglucosamine-transferase;437;35;1264;2187;402;435;1969;4672;1635
cds1045-hypothetical-protein;298;49;946;1168;228;220;1065;2765;747
cds1046-NAD(P)-dependent-oxidoreductase;423;38;1227;1630;439;394;1622;4289;1313
cds1047-hypothetical-protein;357;37;656;736;204;193;789;1817;728
cds1048-phosphoglycerate-kinase;1402;404;2392;2377;431;425;2450;5370;1792
cds1049-universal-stress-protein;357;110;850;903;220;181;912;2152;549
cds104-hypothetical-protein;653;161;1476;1690;385;374;1647;4241;1406
cds1050-ribosome-biogenesis-GTPase-YlqF;651;89;1517;1808;545;496;1744;4659;1565
cds1051-RluA-family-pseudouridine-synthase;451;44;977;1219;429;416;1356;2573;1188
cds1052;242;28;885;1235;303;251;1402;3543;1124
cds1053;112;19;561;817;191;184;855;1952;669
cds1054;184;30;603;1072;249;240;1097;3075;1102
cds1055;359;27;958;1352;375;352;1483;3282;1242
cds1056-bifunctional-(p)ppGpp-synthetase/guanosine-3',5'-bis(diphosphate)-3'-pyrophosphohydrolase;869;176;2576;3812;721;724;3410;8005;2472
cds1057;270;61;548;746;133;126;535;1178;530
cds1058-hypothetical-protein-WH5701_05185;761;65;2096;3476;792;842;3039;7618;3260
cds1059-YdiU-family-protein;448;17;1300;2391;431;468;2389;5436;1940
cds105-tryptophan-synthase-subunit-beta;763;128;1901;2530;691;663;2829;7758;2135
cds106;258;63;555;855;241;167;780;1921;814
cds1060-hypothetical-protein;87;10;235;247;18;32;149;257;96
cds1061-DUF2062-domain-containing-protein;144;19;505;985;175;207;889;2316;678
cds1062-tRNA-uridine-5-carboxymethylaminomethyl(34)-synthesis-GTPase-MnmE;576;64;1496;2482;604;528;2244;5374;1958
cds1063-carboxylating-nicotinate-nucleotide-diphosphorylase;450;60;1355;2206;538;559;2229;6306;1949
cds1064-glucosylglycerol-3-phosphatase;586;63;1594;2160;550;514;2218;4653;1823
cds1065-DUF3459-domain-containing-protein;639;104;1906;2663;671;628;3003;7519;2235
cds1066;493;61;1283;1827;449;423;1711;4122;1574
cds1067;143;12;450;672;156;190;652;1595;742
cds1068-FAD-dependent-oxidoreductase;608;59;1567;2586;602;575;2394;6459;2309
cds1069-trehalose-synthase;753;142;2163;3251;672;639;3444;7172;2427
cds1070-glucosylglycerol-phosphate-synthase;7079;1695;10414;3500;1972;1585;4262;10818;2531
cds1071-transporter-substrate-binding-domain-containing-protein;656;235;2202;2313;565;501;2586;5865;1879
cds1072;319;88;1289;1502;465;455;1956;4922;1049
cds1073-GRRM-system-radical-SAM/SPASM-domain-protein;645;113;2011;2575;485;466;2385;6195;1700
cds1074-arginine--tRNA-ligase;1149;201;2594;3832;803;741;4324;8989;3064
cds1075-histidinol-phosphate-aminotransferase-family-protein;488;91;1531;2081;527;457;2181;5862;2073
cds1076-Zn-dependent-hydrolase;966;290;1791;1629;390;390;1812;4656;1323
cds1077-aminodeoxychorismate/anthranilate-synthase-component-II;306;70;824;1496;310;312;1501;3726;1175
cds1078;111;9;181;316;50;78;231;464;270
cds1079-rRNA-maturation-RNase-YbeY;236;29;700;889;185;196;658;1937;748
cds107-translation-initiation-factor;181;47;696;888;270;242;1036;2404;808
cds1080-DUF3285-domain-containing-protein;123;14;383;444;90;125;463;1134;338
cds1081-peptide-chain-release-factor-2;1031;178;1906;1935;455;476;1881;4775;1683
cds1082-glutaredoxin-3;144;22;485;478;131;127;490;1107;399
cds1083;515;126;1539;2006;592;481;2388;6061;1756
cds1084;65;11;172;308;65;51;237;577;167
cds1085-ion-transporter;294;26;795;1306;199;230;1038;2534;840
cds1086-isochorismate-synthase;651;52;1668;2020;668;649;2334;4550;2224
cds1087;146;15;496;703;200;157;884;1915;527
cds1088;211;22;748;948;191;256;792;2213;1011
cds1089;403;39;1202;1873;349;364;1640;5144;1612
cds108-adenylyl-sulfate-kinase;289;28;820;1338;210;259;1035;2685;983
cds1090-hypothetical-protein;124;4;302;511;117;142;497;1114;433
cds1091-o-succinylbenzoate--CoA-ligase;603;69;1946;2671;764;722;2838;6787;2474
cds1092-TM2-domain-containing-protein;208;59;451;455;68;85;404;911;453
cds1093-hypothetical-protein;572;91;1113;836;311;331;1076;3704;836
cds1094-acyl-CoA-thioesterase;346;48;882;1007;366;324;1275;3020;736
cds1095;72;21;233;263;47;37;236;461;208
cds1096-NAD(P)H-quinone-oxidoreductase-subunit-H;1098;188;1796;2327;458;473;2531;5614;1636
cds1097-16S-rRNA-(cytosine(1402)-N(4))-methyltransferase-RsmH;380;49;1000;1740;373;334;1697;4048;1407
cds1098-DUF456-family-protein;324;51;1022;1906;493;397;1693;5018;1534
cds1099;844;254;1870;2093;528;512;2833;6378;1876
cds109-AI-2E-family-transporter;435;53;1110;2185;272;341;1844;3929;1543
cds1100;886;157;2177;3195;720;734;3220;7670;2824
cds1101-response-regulator-transcription-factor;625;150;1461;1775;328;370;1621;3534;1441
cds1102-RluA-family-pseudouridine-synthase;335;60;895;1428;300;304;1412;2654;1197
cds1103-lipoyl-synthase;507;106;1145;1322;354;500;1346;3057;1701
cds1104-precorrin-3B-C(17)-methyltransferase;929;135;2515;3390;1053;1022;3462;7944;3406
cds1105;648;50;1301;2097;410;506;1946;4752;1794
cds1106-photosystem-I-core-protein-PsaA;22865;5499;17642;3614;730;968;3404;7211;2629
cds1107-photosystem-I-core-protein-PsaB;41619;6508;28817;3729;1155;1285;4311;9409;2939
cds1108;560;84;2062;2509;701;772;2895;7809;2254
cds1109;814;99;2182;3634;783;680;3203;7215;2580
cds110-hypothetical-protein;957;270;2781;3452;952;775;4124;11690;2924
cds111;50;10;132;212;65;67;258;813;209
cds1110-photosystem-I-reaction-center-protein-subunit-XI;983;213;1724;1328;540;510;1984;5678;1237
cds1111-hypothetical-protein-WH5701_05495;4682;487;3398;588;210;158;663;1167;405
cds1112-hypothetical-protein;145;6;505;564;146;134;458;1047;682
cds1113-glycosyltransferase;365;56;1032;1775;309;377;1599;3983;1135
cds1114-NlpC/P60-family-protein;285;21;812;1128;292;288;1002;2702;979
cds1115;319;31;820;1309;290;286;1210;3152;1048
cds1116;188;56;287;437;64;87;308;700;288
cds1117-alanine-racemase;682;106;2055;2432;558;577;2406;5271;2252
cds1118-HNH-endonuclease;331;33;621;898;194;137;744;1725;655
cds1119-peptide-chain-release-factor-1;527;66;1371;1989;350;399;1761;3741;1396
cds112;780;118;2280;2517;819;750;3299;6921;2431
cds1120-50S-ribosomal-protein-L31;1374;483;1768;568;111;119;468;1050;401
cds1121-30S-ribosomal-protein-S9;4313;895;4582;1282;722;484;2528;5775;1068
cds1122-50S-ribosomal-protein-L13;2299;731;3451;1179;632;427;1957;4408;1041
cds1123-tRNA-pseudouridine(38-40)-synthase-TruA;1682;422;3135;2024;689;624;2504;6131;1711
cds1124-50S-ribosomal-protein-L17;792;198;1646;963;379;414;1451;4494;825
cds1125-DNA-directed-RNA-polymerase-subunit-alpha;3844;796;4413;1406;278;310;1353;3284;1092
cds1126-MULTISPECIES:-30S-ribosomal-protein-S11;2629;727;6069;1683;907;720;1851;8024;1406
cds1127-30S-ribosomal-protein-S13;2285;916;3869;1299;437;361;1828;4097;966
cds1128-MULTISPECIES:-50S-ribosomal-protein-L36;8024;618;20353;325;1712;999;465;1141;237
cds1129-adenylate-kinase;487;150;1189;1079;254;302;1134;2970;893
cds1130-preprotein-translocase-subunit-SecY;1766;392;3211;2217;674;704;2721;6369;2018
cds1131-50S-ribosomal-protein-L15;1407;267;2363;1202;380;384;1324;4197;971
cds1132-30S-ribosomal-protein-S5;3210;1072;4257;1541;304;330;1619;3458;1062
cds1133-50S-ribosomal-protein-L18;4228;957;5368;1200;447;346;1797;4939;892
cds1134-50S-ribosomal-protein-L6;3370;2578;4242;1216;320;280;1364;2588;1099
cds1135-MULTISPECIES:-30S-ribosomal-protein-S8;885;364;2204;583;109;137;648;1353;471
cds1136-50S-ribosomal-protein-L5;5394;1617;8144;1617;379;376;1869;4503;892
cds1137-50S-ribosomal-protein-L24;5144;2242;7842;736;113;126;623;1018;468
cds1138-50S-ribosomal-protein-L14;3587;1585;5775;755;208;162;953;2399;520
cds1139-MULTISPECIES:-30S-ribosomal-protein-S17;929;462;1737;578;114;147;688;1647;428
cds113-magnesium-protoporphyrin-IX-methyltransferase;476;65;1013;1590;300;355;1567;3517;1186
cds1140-50S-ribosomal-protein-L29;7267;1488;10084;396;108;107;613;996;308
cds1141-50S-ribosomal-protein-L16;2996;1002;3921;927;97;179;635;1396;815
cds1142-30S-ribosomal-protein-S3;1574;631;3400;1474;411;418;1700;3441;1075
cds1143-50S-ribosomal-protein-L22;1570;536;2594;877;177;190;864;1930;657
cds1144-MULTISPECIES:-30S-ribosomal-protein-S19;5120;1461;9040;479;75;115;505;1058;313
cds1145-MULTISPECIES:-50S-ribosomal-protein-L2;795;240;2114;1818;331;294;1732;4059;1346
cds1146-50S-ribosomal-protein-L23;1673;558;2602;514;114;102;547;928;301
cds1147-50S-ribosomal-protein-L4;4029;1466;6224;1181;316;293;960;2852;820
cds1148-50S-ribosomal-protein-L3;3395;874;3675;1475;390;407;1616;3706;1228
cds1149-NAD(P)H-quinone-oxidoreductase;256;38;563;697;190;169;529;1756;619
cds114-glutamate-synthase-large-subunit;2580;466;6340;8104;1728;1836;8865;20893;6584
cds1150;129;9;312;432;102;100;329;1144;423
cds1151-Fe-S-cluster-containing-protein;334;38;1000;1290;258;329;1209;2891;1131
cds1152-hypothetical-protein-WH5701_05690;1142;252;3371;3921;1301;1055;4488;10344;3743
cds1153-HAD-family-hydrolase;453;25;1231;1338;407;416;1513;3738;1018
cds1154-recombinase-RecA;958;166;2239;2456;501;522;2201;5524;1638
cds1155-DUF1815-family-protein;435;101;984;674;250;151;589;1483;734
cds1156-DUF2839-family-protein;218;72;716;668;264;245;1391;2687;744
cds1157-hypothetical-protein;617;75;1433;1947;450;500;1996;4383;1784
cds1158-prephenate/arogenate-dehydrogenase;471;82;1594;2214;719;555;2679;8489;2126
cds1159-C-3',4'-desaturase-CrtD;680;71;1877;2757;581;670;2794;7330;2435
cds115-phosphodiester-glycosidase-family-protein;810;188;2342;2940;765;699;3086;8286;2758
cds1160-hypothetical-protein;444;65;1234;1545;353;344;1774;4095;1373
cds1161-hypothetical-protein;243;44;436;644;108;117;515;1503;518
cds1162-M67-family-peptidase;248;40;703;1129;225;254;1140;2521;793
cds1163-molybdopterin-synthase-adenylyltransferase-MoeB;2102;505;3802;2405;937;676;3421;7845;2196
cds1164-cob(I)yrinic-acid-a,c-diamide-adenosyltransferase;903;250;2013;2042;400;415;1857;4479;1636
cds1165-ATP-dependent-sacrificial-sulfur-transferase-LarE;351;45;857;1318;262;275;1193;2942;1085
cds1166-adenosylmethionine-decarboxylase;639;268;1238;778;188;200;834;1826;549
cds1167-DNA-replication/repair-protein-RecF;635;93;1763;2094;872;732;2969;7291;2587
cds1168-hypothetical-protein-WH5701_05775;289;55;718;824;273;243;1050;2588;687
cds1169;459;69;1333;1609;374;334;1702;3257;1296
cds116-AIR-synthase;198;17;421;756;152;178;618;1598;556
cds1170;1181;257;3043;3784;768;853;4166;8865;3212
cds1171-glutamate--cysteine-ligase;613;86;1592;2277;507;489;2368;6063;1863
cds1172-anthranilate-synthase;851;174;2185;2809;561;596;2739;5572;2131
cds117-30S-ribosomal-protein-S12;3603;639;4260;970;453;372;1676;4490;891
cds1173-photosystem-I-reaction-center-subunit-II-(PsaD);3828;598;2839;1120;229;254;1255;2648;861
cds1174-HAMP-domain-containing-histidine-kinase;572;90;1749;2545;618;545;2486;5541;1814
cds1175-hypothetical-protein-WH5701_05805;566;48;1193;2356;475;478;2205;5929;1996
cds1176-ATP-binding-protein;833;199;1850;2091;539;502;1791;4528;1656
cds1177-oxygen-dependent-coproporphyrinogen-oxidase;591;157;1972;2367;668;763;2806;7592;2207
cds1178-hypothetical-protein;371;48;960;1525;321;331;1587;4538;1411
cds1179-cofactor-assembly-of-complex-C-subunit-B;361;65;1063;1176;364;282;1862;3971;1090
cds1180-ribonuclease-D;345;59;992;1514;290;263;1550;3704;1095
cds1181;778;132;2606;3132;856;868;3627;10279;2826
cds1182;209;32;597;805;158;190;681;1669;633
cds1183;192;45;875;685;415;274;1046;3916;806
cds118-30S-ribosomal-protein-S7;5351;1968;5417;1528;447;366;2002;4581;1112
cds1184-aldo/keto-reductase;543;102;1741;2404;686;634;3002;8548;2267
cds1185-hypothetical-protein;618;147;1907;1511;676;554;2675;6325;1552
cds1186-phosphoribosylformylglycinamidine-cyclo-ligase;497;66;1212;1962;418;451;1959;5199;1793
cds1187-septal-ring-lytic-transglycosylase-RlpA-family-protein;2182;816;3916;1510;308;295;1456;4161;1092
cds1188-bifunctional-pantoate--beta-alanine-ligase/(d)CMP-kinase;667;108;2055;2785;802;699;3647;9793;2535
cds1189-low-molecular-weight-phosphotyrosine-protein-phosphatase;143;26;333;741;87;135;511;1201;439
cds1190-HEAT-repeat-domain-containing-protein;439;115;1178;1582;329;285;1447;3514;1237
cds1191-HEAT-repeat-domain-containing-protein;525;98;1116;1684;316;396;1565;3814;1256
cds1192;141;9;312;494;103;94;564;1142;318
cds1193;562;53;840;536;130;122;754;1710;356
cds1194-IS5-family-transposase;506;61;1195;1897;287;313;1772;3463;1153
cds1195-NAD-dependent-epimerase/dehydratase-family-protein;493;71;1080;1358;296;316;1414;2725;759
cds1196-hypothetical-protein;514;125;915;395;116;119;620;1462;366
cds1197;138;11;315;464;55;77;301;834;290
cds1198-phycoerythrobilin:ferredoxin-oxidoreductase;1105;199;1771;1606;339;360;1819;4551;1279
cds1199-15,16-dihydrobiliverdin:ferredoxin-oxidoreductase;1596;245;1803;1152;303;279;1670;3472;987
cds119-elongation-factor-G;28752;6886;31780;4026;805;801;3825;8577;2723
cds11-TolC-family-protein;1956;367;3500;3552;848;831;4202;10225;2954
cds1200-phycobiliprotein-lyase;3156;1236;2915;1138;211;221;941;1951;799
cds1201-heme-oxygenase-(biliverdin-producing);1422;321;1669;1081;162;169;1069;1900;798
cds1202-hypothetical-protein;499;59;797;559;127;124;726;1488;463
cds1203;60;12;179;478;37;52;459;833;239
cds1204-bleomycin-hydrolase;229408;20918;165298;1206;1026;872;1870;4212;960
cds1205-bleomycin-hydrolase;20753;5167;14716;916;362;371;1230;2941;835
cds1206-HEAT-repeat-domain-containing-protein;1154;340;1188;1091;243;303;1287;3214;798
cds1207-HEAT-repeat-domain-containing-protein;1463;319;2044;1543;341;349;1691;4334;882
cds1208-DUF2656-domain-containing-protein;5396;980;2838;702;118;191;746;1352;605
cds1209;4995;674;1722;451;128;126;548;1123;448
cds120-elongation-factor-Tu;9848;2792;12978;2736;586;646;2330;5232;1600
cds1210-bilin-biosynthesis-protein-CpeY;1971;284;2433;1836;432;360;2314;4444;1272
cds1211;310;36;272;405;50;71;248;454;172
cds1212-chorismate-binding-protein;1133;121;997;924;106;133;881;1688;544
cds121-30S-ribosomal-protein-S10;4134;550;4684;1096;364;329;1322;3255;884
cds1213-phycobiliprotein-lyase;20746;1449;9700;746;138;131;940;1760;417
cds1214;7209;1424;4826;1065;148;206;1009;1898;752
cds1215-phycobilisome-linker-polypeptide;22042;3314;11880;2403;515;504;2546;5670;1566
cds1216-photosystem-I-reaction-center-subunit-XII;10387;1385;6264;1570;479;344;2120;4236;1224
cds1217-ferrochelatase;1402;275;2215;2240;447;492;2922;5670;1468
cds1218;1539;231;1248;1069;118;99;906;1828;599
cds1219-hypothetical-protein;3817;410;2064;844;191;158;911;1652;571
cds1220;1872;306;913;273;37;37;148;278;179
cds1221-phycobilisome-Linker-polypeptide;37523;7178;14450;1227;481;357;1239;2746;718
cds1222-phycocyanin-subunit-alpha;14089;2039;9533;825;255;194;1106;2602;615
cds1223-phycocyanin-subunit-beta;246017;19474;86159;955;358;346;889;1634;477
cds1224-hypothetical-protein;899;286;1104;611;253;248;834;2390;508
cds1225-phycobilisome-linker-polypeptide;2274;392;4077;2096;897;806;2971;7135;1599
cds1226-hypothetical-protein;180;34;589;721;122;149;845;1423;508
cds1227;425;55;1066;1614;363;382;2236;4862;1153
cds1228-chorismate-binding-protein;305;98;559;812;136;161;775;1603;679
cds1229-hypothetical-protein;203;42;457;525;124;100;500;1187;432
cds122-ATP-dependent-protease;763;174;1764;1297;411;413;1829;4305;1283
cds1230-hypothetical-protein-WH5701_05955;367;13;940;1193;334;293;1556;3015;1055
cds1231-DUF2470-domain-containing-protein;158;12;385;573;132;126;529;1448;507
cds1232-hypothetical-protein-WH5701_05965;19;2;68;108;11;47;116;290;145
cds1233-sugar-kinase;475;32;1394;2217;425;456;2171;4881;1898
cds1234-methionine-adenosyltransferase;792;165;1749;2966;445;475;2230;4520;1910
cds1235-HAD-family-hydrolase;348;63;846;1086;255;251;991;2277;1080
cds1236-30S-ribosomal-protein-S1;3369;1086;4414;1754;379;349;1582;3445;1265
cds1237-transcriptional-regulator-NrdR;941;132;1597;1068;214;190;976;1795;560
cds1238-MULTISPECIES:-photosystem-II-reaction-center-protein-T;123;7;192;210;59;69;382;716;238
cds1239-photosystem-II-chlorophyll-binding-protein-CP47;4115;1222;4695;2925;685;771;3462;7747;2308
cds123-methyltransferase-domain-containing-protein;405;94;1186;1848;416;381;2147;5093;1421
cds1240-(2Fe-2S)-binding-protein;419;76;700;1072;229;247;1117;3317;880
cds1241-photosystem-II-reaction-center-protein-M;531;78;1162;275;144;111;523;1154;235
cds1242-universal-stress-protein;1038;139;1107;1443;162;212;1177;2171;800
cds1243-acyl-CoA-thioesterase;472;64;1186;1422;426;414;1670;5443;1411
cds1244-DNA-processing-protein-DprA;522;40;1345;2150;592;483;2607;6400;2051
cds1245-peptide-chain-release-factor-N(5)-glutamine-methyltransferase;523;55;1311;1639;388;399;1470;3894;1427
cds1246-Sua5/YciO/YrdC/YwlC-family-protein;243;25;658;1067;226;254;1391;3296;996
cds1247-hypothetical-protein-WH5701_06040;90;5;168;214;55;50;202;482;115
cds1248-hypothetical-protein-WH5701_06045;236;24;660;997;182;243;882;2143;850
cds1249-DUF4040-domain-containing-protein;333;32;837;956;243;226;1065;2629;895
cds124-prephenate-dehydratase;280;55;849;1275;227;232;1335;2983;1037
cds1250-sodium:proton-antiporter;157;30;337;439;122;89;475;1154;322
cds1251-hypothetical-protein;161;63;395;600;164;147;1003;1571;438
cds1252-hypothetical-protein;209;27;389;744;162;153;574;1697;675
cds1253-NADH-dehydrogenase-subunit-N;480;46;1534;2434;602;555;2666;7560;2002
cds1254-cation:proton-antiporter;207;15;445;616;110;120;540;1510;420
cds1255-LuxR-family-transcriptional-regulator;128;21;281;359;59;88;269;467;247
cds1256-cell-division-topological-specificity-factor-MinE;336;74;567;672;110;110;704;1274;430
cds1257-septum-site-determining-protein-MinD;495;164;1115;1429;255;214;1392;2746;1081
cds1258-septum-formation-initiator;322;56;1057;1660;315;329;1561;3742;1491
cds1259;322;26;729;905;261;200;910;2309;886
cds125-DUF1997-domain-containing-protein;265;43;635;1012;209;235;947;1868;825
cds1260;351;38;979;1256;308;343;1177;2706;1194
cds1261;307;50;851;1069;196;213;1238;2242;931
cds1262;362;40;679;1097;172;209;1054;2633;881
cds1263-cytochrome-b6;5367;1051;5623;1034;338;226;1199;2137;719
cds1264-cytochrome-b6-f-complex-subunit-IV;2881;392;2781;924;359;299;1338;3604;835
cds1265;524;167;1086;1356;283;275;1586;3337;915
cds1266;489;85;998;1025;212;206;913;2764;881
cds1267;1936;1068;3841;245;574;193;100;182;121
cds1268-Uncharacterised-protein;645;405;2612;346;165;89;160;197;146
cds1269;28961;7827;40818;253;402;549;139;247;146
cds126-ribonuclease-HII;151;6;426;560;139;170;458;1367;600
cds1270-YihY/virulence-factor-BrkB-family-protein;1910;383;3455;2331;575;540;3101;8310;1447
cds1271-hypothetical-protein;732;201;3136;674;606;255;662;1526;484
cds1272-hypothetical-protein-WH5701_16111;343;88;1205;710;282;260;819;1926;511
cds1273-DUF2834-domain-containing-protein;312;88;843;805;165;173;891;2163;619
cds1274-exodeoxyribonuclease-VII-small-subunit;393;92;614;880;118;146;886;1876;544
cds1275-exodeoxyribonuclease-VII-large-subunit;496;87;1367;2116;350;370;1983;4125;1357
cds1276;358;83;702;880;197;203;1060;2694;652
cds1277-ATP-dependent-helicase-HrpB;1281;157;3607;4711;1404;1282;5520;12958;4360
cds1278-hypothetical-protein-WH5701_16071;216;31;421;581;128;126;781;1841;455
cds1279-MULTISPECIES:-hypothetical-protein;444;65;1021;895;199;203;979;1761;674
cds127-Rne/Rng-family-ribonuclease;1924;387;3590;3431;723;770;3130;8077;2815
cds1280;1216;402;2329;830;440;376;1522;3548;773
cds1281-trypsin-like-serine-protease;916;429;3063;2243;651;606;2614;6194;1875
cds1282-hypothetical-protein;3206;1049;5505;616;377;440;590;1167;463
cds1283-hypothetical-protein;669;305;1305;537;237;265;701;1694;406
cds1284-ATP-binding-cassette-domain-containing-protein;1348;368;3555;4075;1056;1012;5287;12189;3329
cds1285-hypothetical-protein-WH5701_16036;135;16;378;473;101;141;368;1201;416
cds1286-hypothetical-protein-WH5701_16031;207;50;649;864;213;146;814;1489;730
cds1287-glycosyltransferase-family-2-protein;746;102;2363;3171;864;739;3784;9285;2738
cds1288-hypothetical-protein;201;17;499;904;187;175;1166;2420;766
cds1289-hypothetical-protein;116;8;242;407;93;72;384;881;385
cds128-TIGR03960-family-B12-binding-radical-SAM-protein;1265;194;3762;5626;1342;1312;6514;14585;4910
cds1290-anhydro-N-acetylmuramic-acid-kinase;314;24;1207;1511;400;351;1826;4320;1560
cds1291-TrkA-family-potassium-uptake-protein;1151;498;2227;1377;352;281;1713;3987;1035
cds1292-peroxiredoxin;7818;1342;4714;1440;526;436;2072;5172;1363
cds1293-SLC13-family-permease;872;109;2389;3125;492;603;2474;5685;2489
cds1294-GTPase-HflX;789;114;2167;3100;809;761;3424;8140;2222
cds1295-HAD-family-hydrolase;250;42;758;1185;244;252;1220;2613;881
cds1296;512;93;1189;1597;423;491;1554;3656;1592
cds1297-phosphoadenylyl-sulfate-reductase;354;99;1180;1120;235;267;1378;3260;840
cds1298-type-III-pantothenate-kinase;849;302;1961;1619;563;548;2530;6605;1779
cds1299-thioredoxin-dependent-thiol-peroxidase;1580;286;2522;907;193;186;951;2184;619
cds129-ATP-binding-protein;298;26;816;1444;217;303;1056;2189;957
cds12-TIGR03279-family-radical-SAM-protein;1151;303;2987;2585;1116;972;3460;9550;2784
cds1300-hypothetical-protein;281;54;691;884;169;192;874;2142;679
cds1301-alpha/beta-hydrolase;9237;3187;9346;1593;438;452;1999;4347;1202
cds1302-AAA-family-ATPase;766;93;2284;3772;815;801;3709;8877;3319
cds1303-efflux-RND-transporter-periplasmic-adaptor-subunit;779;189;1506;1965;376;432;1769;3564;1323
cds1304;281;27;628;1084;167;186;1026;2151;674
cds1305;2578;382;5042;4797;900;946;5207;10765;3247
cds1306-hypothetical-protein;320;80;540;738;101;112;576;2058;526
cds1307-phosphoglucomutase;970;163;2522;3479;774;960;3334;9076;2729
cds1308;301;87;892;626;186;205;628;1315;666
cds1309-hypothetical-protein;280;52;653;992;189;205;854;2351;987
cds130-LL-diaminopimelate-aminotransferase;719;131;1741;2305;463;514;2325;5392;1953
cds1310-FAD-dependent-oxidoreductase;323;22;1119;1505;437;385;1792;4480;1514
cds1311;298;24;716;1375;240;259;1081;2135;1068
cds1312;292;33;712;1541;304;305;1299;3379;1093
cds1313-hypothetical-protein;56;12;116;200;49;24;210;629;149
